"Überschrift Erste/Kapitelebene","Überschrift Zweite Ebene","Überschrift Dritte/Niedriger Ebene","Seitenzahl"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976","Internationale Wettbewerbsfähigkeit durch hohe Aufwertung gefährdet?","78"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976","Direktinvestitionen: Kein nennenswerter Export von Arbeitsplätzen","82"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976","Kapitalverkehr im Zeichen neuer Währungsunruhen","84"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976","VII. Geldpolitik: Zentralbankgeldmenge kräftig ausgeweitet","85"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976","Kompensationsaufgabe nicht gelöst","88"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976","Nach wie vor reichlicher Finanzierungsspielraum","90"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976","Sensibler Kapitalmarkt","93"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976","VIII. Finanzpolitik: Konsolidierung eingeleitet","95"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976","Verhaltener Ausgabenanstieg","96"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976","Konjunkturbedingte Steuermehreinnahmen","102"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976","Noch kräftige expansive Impulse","103"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976","Konsolidierung und mittelfristige Finanzplanung","109"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976","Fiskalische Lasten der Rezession","110"
"Erstes Kapitel: Die Konjunkturlage","Teil B: Die Binnenkonjunktur 1976","Erfahrungen aus der Rezessionsbekämpfung","111"
"Zweites Kapitel: Die voraussehbare Entwicklung"," "," ","114"
"Zweites Kapitel: Die voraussehbare Entwicklung","I. Die voraussichtliche Entwicklung der Auslandskonjunktur"," ","114"
"Zweites Kapitel: Die voraussehbare Entwicklung","II. Die voraussichtliche Entwicklung der Binnenkonjunktur"," ","117"
"Drittes Kapitel: Konsolidierung und Wachstumspolitische Vorsorge"," "," ","125"
"Drittes Kapitel: Konsolidierung und Wachstumspolitische Vorsorge","Teil A: Mehr investieren"," ","125"
"Drittes Kapitel: Konsolidierung und Wachstumspolitische Vorsorge","Teil A: Mehr investieren","I. Selbstheilungskräfte zu schwach?","125"
"Drittes Kapitel: Konsolidierung und Wachstumspolitische Vorsorge","Teil A: Mehr investieren","Noch Unsicherheit","125"
"Drittes Kapitel: Konsolidierung und Wachstumspolitische Vorsorge","Teil A: Mehr investieren","Lohnniveau und Beschäftigung","126"
"Drittes Kapitel: Konsolidierung und Wachstumspolitische Vorsorge","Teil A: Mehr investieren","Vorsorge auf der Angebotsseite","127"
"Drittes Kapitel: Konsolidierung und Wachstumspolitische Vorsorge","Teil A: Mehr investieren","Strukturwandel und Beschäftigung","128"
"Drittes Kapitel: Konsolidierung und Wachstumspolitische Vorsorge","Teil A: Mehr investieren","Investitionen und Beschäftigung","130"
"Drittes Kapitel: Konsolidierung und Wachstumspolitische Vorsorge","Teil A: Mehr investieren","II. Für mehr Arbeitsplätze","131"
"Drittes Kapitel: Konsolidierung und Wachstumspolitische Vorsorge","Teil A: Mehr investieren","Nachfragesteuerung und Angebotssteuerung","131"
"Drittes Kapitel: Konsolidierung und Wachstumspolitische Vorsorge","Teil A: Mehr investieren","Stabilisierung der Erwartungen","132"
"Drittes Kapitel: Konsolidierung und Wachstumspolitische Vorsorge","Teil A: Mehr investieren","Zukunftsorientierte Strukturpolitik","133"
"Drittes Kapitel: Konsolidierung und Wachstumspolitische Vorsorge","Teil A: Mehr investieren","Gegen Rationierung der Arbeit","134"
"Drittes Kapitel: Konsolidierung und Wachstumspolitische Vorsorge","Teil A: Mehr investieren","Für neue Arbeitsplätze","135"
"Drittes Kapitel: Konsolidierung und Wachstumspolitische Vorsorge","Teil A: Mehr investieren","Für mehr Mobilität","137"
"Drittes Kapitel: Konsolidierung und Wachstumspolitische Vorsorge","Teil A: Mehr investieren","III. Fortsetzung der Konsolidierung und der Steuerreform","139"
"Drittes Kapitel: Konsolidierung und Wachstumspolitische Vorsorge","Teil A: Mehr investieren","Konsolidierung - quantitativ","139"
"Drittes Kapitel: Konsolidierung und Wachstumspolitische Vorsorge","Teil A: Mehr investieren","Konsolidierung - qualitativ","141"
"Drittes Kapitel: Konsolidierung und Wachstumspolitische Vorsorge","Teil A: Mehr investieren","Fortsetzung der Steuerreform","142"
"Drittes Kapitel: Konsolidierung und Wachstumspolitische Vorsorge","Teil A: Mehr investieren","IV. Zu Gewinnbeteiligung und Vermögensbildung","144"
"Drittes Kapitel: Konsolidierung und Wachstumspolitische Vorsorge","Teil A: Mehr investieren","V. Marktpolitik","148"
"Drittes Kapitel: Konsolidierung und Wachstumspolitische Vorsorge","Teil B: Sicherung des Aufschwungs"," ","151"
"Drittes Kapitel: Konsolidierung und Wachstumspolitische Vorsorge","Teil B: Sicherung des Aufschwungs","I. Die stabilitätspolitische Situation","151"
"Drittes Kapitel: Konsolidierung und Wachstumspolitische Vorsorge","Teil B: Sicherung des Aufschwungs","Was zu erreichen ist","154"
"Drittes Kapitel: Konsolidierung und Wachstumspolitische Vorsorge","Teil B: Sicherung des Aufschwungs","II. Was zu tun ist","155"
"Drittes Kapitel: Konsolidierung und Wachstumspolitische Vorsorge","Teil B: Sicherung des Aufschwungs","Geldpolitik","155"
"Drittes Kapitel: Konsolidierung und Wachstumspolitische Vorsorge","Teil B: Sicherung des Aufschwungs","Währungspolitik","158"
"Drittes Kapitel: Konsolidierung und Wachstumspolitische Vorsorge","Teil B: Sicherung des Aufschwungs","Einkommenspolitik","158"
"Drittes Kapitel: Konsolidierung und Wachstumspolitische Vorsorge","Teil B: Sicherung des Aufschwungs","Zur Rentenversicherung","161"
"Drittes Kapitel: Konsolidierung und Wachstumspolitische Vorsorge","Teil B: Sicherung des Aufschwungs","Finanzpolitik 1977","164"
"Drittes Kapitel: Konsolidierung und Wachstumspolitische Vorsorge","Teil B: Sicherung des Aufschwungs","Agrarpolitik","167"
"Drittes Kapitel: Konsolidierung und Wachstumspolitische Vorsorge","Teil B: Sicherung des Aufschwungs","III. Ein Programm","168"
"Viertes Kapitel: Geldpolitik in Europa"," "," ","172"
"Viertes Kapitel: Geldpolitik in Europa","I. Die Aufgabe"," ","172"
"Viertes Kapitel: Geldpolitik in Europa","II. Für eine Steuerung der Geldbasis"," ","174"
"Viertes Kapitel: Geldpolitik in Europa","II. Für eine Steuerung der Geldbasis","Zur Wahl der Steuergröße","174"
"Viertes Kapitel: Geldpolitik in Europa","II. Für eine Steuerung der Geldbasis","Instrumentalprobleme","175"
"Viertes Kapitel: Geldpolitik in Europa","II. Für eine Steuerung der Geldbasis","Zur Festlegung der Zuwachsrate der Geldbasis","178"
"Viertes Kapitel: Geldpolitik in Europa","III. Harmonisierte Geldpolitik im Währungsverbund"," ","179"
"Viertes Kapitel: Geldpolitik in Europa","IV. Harmonisierte Geldpolitik bei ""anpassungsfähigen"" Wechselkursen"," ","180"

