```csv
"Überschrift Erste/Kapitelebene","Überschrift Zweite Ebene","Überschrift Dritte/Niedriger Ebene","Seitenzahl","Kategorie"
"DRITTES KAPITEL Euro-Raum in der Krise","III. Deutschland und die europäischen Ungleichgewichte","Zweitens: Leistungsbilanzsaldo und Kapitalbilanzsaldo","107","Außenhandel"
"DRITTES KAPITEL Euro-Raum in der Krise","III. Deutschland und die europäischen Ungleichgewichte","Drittens: Fehlentwicklungen in den Peripherieländern","109","Europäische Union"
"DRITTES KAPITEL Euro-Raum in der Krise","III. Deutschland und die europäischen Ungleichgewichte","Welche Rolle kann Deutschland beim Abbau der europäischen Ungleichgewichte spielen?","110","Europäische Union"
"DRITTES KAPITEL Euro-Raum in der Krise","III. Deutschland und die europäischen Ungleichgewichte","Auswirkungen einer expansiven Lohn- und Fiskalpolitik in NiGEM","111","Europäische Union"
"DRITTES KAPITEL Euro-Raum in der Krise","III. Deutschland und die europäischen Ungleichgewichte","Simulationsergebnisse: Fiskalpolitik","112","Öffentliche Finanzen"
"DRITTES KAPITEL Euro-Raum in der Krise","III. Deutschland und die europäischen Ungleichgewichte","Simulationsergebnisse: Lohnpolitik","116","Arbeitsmarktpolitik"
"DRITTES KAPITEL Euro-Raum in der Krise","III. Deutschland und die europäischen Ungleichgewichte","Deutschlands Wachstum stärken","119","Kurze Frist / Konjunkturanalyse"
"DRITTES KAPITEL Euro-Raum in der Krise","III. Deutschland und die europäischen Ungleichgewichte","Öffentliche und private Investitionen","120","Kurze Frist / Konjunkturanalyse"
"DRITTES KAPITEL Euro-Raum in der Krise","III. Deutschland und die europäischen Ungleichgewichte","Simulationsergebnisse: Erhöhung der Partizipationsquote am Arbeitsmarkt","122","Arbeitsmarktpolitik"
"DRITTES KAPITEL Euro-Raum in der Krise","III. Deutschland und die europäischen Ungleichgewichte","Eine andere Meinung","123","NA"
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg"," "," ","135","Finanzmärkte und Finanzstabilität "
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg","I. Krisenmanagement: Kein Ende in Sicht"," ","137","Finanzmärkte und Finanzstabilität "
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg","I. Krisenmanagement: Kein Ende in Sicht","Banken erneut unter Druck","137","Finanzmärkte und Finanzstabilität "
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg","I. Krisenmanagement: Kein Ende in Sicht","Restrukturierung nicht weiter hinauszögern","143","Finanzmärkte und Finanzstabilität "
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg","II. Finanzsystemreformen: Erst am Anfang"," ","144","Finanzmärkte und Finanzstabilität "
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg","II. Finanzsystemreformen: Erst am Anfang","Widerstandskraft einzelner Finanzinstitute erhöhen, Prozyklizität verringern","146","Finanzmärkte und Finanzstabilität "
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg","II. Finanzsystemreformen: Erst am Anfang","Eigenkapitalbasis stärken","146","Finanzmärkte und Finanzstabilität "
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg","II. Finanzsystemreformen: Erst am Anfang","Prozyklizität reduzieren","149","Finanzmärkte und Finanzstabilität "
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg","II. Finanzsystemreformen: Erst am Anfang","Begrenzung des Verschuldungsgrads","149","Finanzmärkte und Finanzstabilität "
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg","II. Finanzsystemreformen: Erst am Anfang","Liquiditätsstandards und Begrenzungen der Interbankenkredite","150","Finanzmärkte und Finanzstabilität "
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg","II. Finanzsystemreformen: Erst am Anfang","Contingent Capital","151","Finanzmärkte und Finanzstabilität "
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg","II. Finanzsystemreformen: Erst am Anfang","Marktstabilität erhöhen und Systemrelevanz verringern","152","Finanzmärkte und Finanzstabilität "
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg","II. Finanzsystemreformen: Erst am Anfang","Standardisierung und Zentralisierung des Derivatehandels","152","Finanzmärkte und Finanzstabilität "
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg","II. Finanzsystemreformen: Erst am Anfang","Finanztransaktionsteuer und Verbot von ungedeckten Leerverkäufen","153","Steuerpolitik"
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg","II. Finanzsystemreformen: Erst am Anfang","Die Volcker-Regeln","154","Finanzmärkte und Finanzstabilität "
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg","II. Finanzsystemreformen: Erst am Anfang","Reform der Aufsichtsstrukturen","155","Finanzmärkte und Finanzstabilität "
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg","II. Finanzsystemreformen: Erst am Anfang","Strukturprobleme der Aufsicht","155","Finanzmärkte und Finanzstabilität "
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg","II. Finanzsystemreformen: Erst am Anfang","Zaghafte Reformen der internationalen Aufsicht","157","Finanzmärkte und Finanzstabilität "
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg","II. Finanzsystemreformen: Erst am Anfang","Reform der nationalen Aufsicht aufgeschoben oder aufgehoben?","159","Finanzmärkte und Finanzstabilität "
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg","II. Finanzsystemreformen: Erst am Anfang","Abwicklung und Lastenteilung","161","Finanzmärkte und Finanzstabilität "
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg","II. Finanzsystemreformen: Erst am Anfang","Living Wills","161","Finanzmärkte und Finanzstabilität "
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg","III. Die Reform der Insolvenzordnung in Deutschland"," ","162","Finanzmärkte und Finanzstabilität "
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg","III. Die Reform der Insolvenzordnung in Deutschland","Verfahren zur Sanierung und Reorganisation","162","Finanzmärkte und Finanzstabilität "
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg","III. Die Reform der Insolvenzordnung in Deutschland","Eigenverantwortliches Verfahren","162","Finanzmärkte und Finanzstabilität "
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg","III. Die Reform der Insolvenzordnung in Deutschland","Hoheitliches Verfahren","164","Finanzmärkte und Finanzstabilität "
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg","III. Die Reform der Insolvenzordnung in Deutschland","Restrukturierungsfonds und Bankenabgabe","166","Finanzmärkte und Finanzstabilität "
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg","III. Die Reform der Insolvenzordnung in Deutschland","Restrukturierungsfonds","166","Finanzmärkte und Finanzstabilität "
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg","III. Die Reform der Insolvenzordnung in Deutschland","Bankenabgabe","168","Finanzmärkte und Finanzstabilität "
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg","IV. Weiße Flecken auf der globalen Reformlandkarte"," ","169","Finanzmärkte und Finanzstabilität "
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg","IV. Weiße Flecken auf der globalen Reformlandkarte","Reduktion der Systemrelevanz","169","Finanzmärkte und Finanzstabilität "
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg","IV. Weiße Flecken auf der globalen Reformlandkarte","Das Anreizproblem","169","Finanzmärkte und Finanzstabilität "
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg","IV. Weiße Flecken auf der globalen Reformlandkarte","Ansätze zur Reduktion der Systemrelevanz","170","Finanzmärkte und Finanzstabilität "
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg","IV. Weiße Flecken auf der globalen Reformlandkarte","Umgang mit grenzüberschreitenden systemischen Insolvenzen","174","Finanzmärkte und Finanzstabilität "
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg","IV. Weiße Flecken auf der globalen Reformlandkarte","Das Koordinationsproblem","174","Finanzmärkte und Finanzstabilität "
"VIERTES KAPITEL Finanzsystem in der Therapie: Noch ein weiter Weg","IV. Weiße Flecken auf der globalen Reformlandkarte","Ansätze für ein europäisches Restrukturierungsregime","176","Finanzmärkte und Finanzstabilität "
"FÜNFTES KAPITEL Öffentliche Finanzen: In der Realität angekommen"," "," ","183","Öffentliche Finanzen"
"FÜNFTES KAPITEL Öffentliche Finanzen: In der Realität angekommen","I. Haushaltskonsolidierung im Zeichen der Schuldenbremse"," ","186","Öffentliche Finanzen"
"FÜNFTES KAPITEL Öffentliche Finanzen: In der Realität angekommen","I. Haushaltskonsolidierung im Zeichen der Schuldenbremse","Kurzfristige und langfristige Wirkungen der Staatsverschuldung","186","Öffentliche Finanzen"
"FÜNFTES KAPITEL Öffentliche Finanzen: In der Realität angekommen","I. Haushaltskonsolidierung im Zeichen der Schuldenbremse","Entwicklung der staatlichen Einnahmen und Ausgaben","189","Öffentliche Finanzen"
"FÜNFTES KAPITEL Öffentliche Finanzen: In der Realität angekommen","I. Haushaltskonsolidierung im Zeichen der Schuldenbremse","Finanzpolitische Kennziffern","191","Öffentliche Finanzen"
"FÜNFTES KAPITEL Öffentliche Finanzen: In der Realität angekommen","I. Haushaltskonsolidierung im Zeichen der Schuldenbremse","Regelungsinhalt der neuen Schuldenregel","193","Öffentliche Finanzen"
"FÜNFTES KAPITEL Öffentliche Finanzen: In der Realität angekommen","I. Haushaltskonsolidierung im Zeichen der Schuldenbremse","Probleme und Gestaltungsspielräume","199","Öffentliche Finanzen"
"FÜNFTES KAPITEL Öffentliche Finanzen: In der Realität angekommen","I. Haushaltskonsolidierung im Zeichen der Schuldenbremse","Umsetzung der Schuldenregel in den Bundesländern","204","Öffentliche Finanzen"
"FÜNFTES KAPITEL Öffentliche Finanzen: In der Realität angekommen","I. Haushaltskonsolidierung im Zeichen der Schuldenbremse","Zusammenfassende Bewertung der neuen Schuldenregel","207","Öffentliche Finanzen"
"FÜNFTES KAPITEL Öffentliche Finanzen: In der Realität angekommen","I. Haushaltskonsolidierung im Zeichen der Schuldenbremse","Schuldenregel und „Zukunftspaket“ der Bundesregierung","207","Öffentliche Finanzen"
"FÜNFTES KAPITEL Öffentliche Finanzen: In der Realität angekommen","II. Steuerpolitik zwischen großem Wurf und Scheitern"," ","209","Steuerpolitik"
"FÜNFTES KAPITEL Öffentliche Finanzen: In der Realität angekommen","II. Steuerpolitik zwischen großem Wurf und Scheitern","Steuerpolitik im Überblick","209","Steuerpolitik"
"FÜNFTES KAPITEL Öffentliche Finanzen: In der Realität angekommen","II. Steuerpolitik zwischen großem Wurf und Scheitern","Die Ausgangslage","212","Steuerpolitik"
"FÜNFTES KAPITEL Öffentliche Finanzen: In der Realität angekommen","II. Steuerpolitik zwischen großem Wurf und Scheitern","Konzeptionelle Überlegungen","216","Steuerpolitik"
"FÜNFTES KAPITEL Öffentliche Finanzen: In der Realität angekommen","II. Steuerpolitik zwischen großem Wurf und Scheitern","Belastungs- und Umverteilungswirkungen der Umsatzbesteuerung","220","Steuerpolitik"
"FÜNFTES KAPITEL Öffentliche Finanzen: In der Realität angekommen","II. Steuerpolitik zwischen großem Wurf und Scheitern","Schlussfolgerungen","225","Steuerpolitik"
"FÜNFTES KAPITEL Öffentliche Finanzen: In der Realität angekommen","II. Steuerpolitik zwischen großem Wurf und Scheitern","Eine andere Meinung","226","NA"
"FÜNFTES KAPITEL Öffentliche Finanzen: In der Realität angekommen","II. Steuerpolitik zwischen großem Wurf und Scheitern","Die Reformalternativen im Überblick","227","Steuerpolitik"
"FÜNFTES KAPITEL Öffentliche Finanzen: In der Realität angekommen","II. Steuerpolitik zwischen großem Wurf und Scheitern","Zusammenfassende Bewertung","230","Steuerpolitik"
"SECHSTES KAPITEL Soziale Sicherung: Nur zaghafte Reformen"," "," ","235","Soziale Sicherung"
"SECHSTES KAPITEL Soziale Sicherung: Nur zaghafte Reformen","I. Gesetzliche Krankenversicherung: Einstieg in ein Pauschalbeitragssystem?"," ","236","Kranken- und Pflegeversicherung und Gesundheitssystem"
"SECHSTES KAPITEL Soziale Sicherung: Nur zaghafte Reformen","I. Gesetzliche Krankenversicherung: Einstieg in ein Pauschalbeitragssystem?","Finanzielle Lage","237","Kranken- und Pflegeversicherung und Gesundheitssystem"
"SECHSTES KAPITEL Soziale Sicherung: Nur zaghafte Reformen","I. Gesetzliche Krankenversicherung: Einstieg in ein Pauschalbeitragssystem?","Einnahmeseite: Einstieg in ein Pauschalbeitragssystem?","239","Kranken- und Pflegeversicherung und Gesundheitssystem"
"SECHSTES KAPITEL Soziale Sicherung: Nur zaghafte Reformen","I. Gesetzliche Krankenversicherung: Einstieg in ein Pauschalbeitragssystem?","Stabilisierung der Ausgabenseite – Mehr Schatten als Licht","243","Kranken- und Pflegeversicherung und Gesundheitssystem"
"SECHSTES KAPITEL Soziale Sicherung: Nur zaghafte Reformen","II. Soziale Pflegeversicherung: Auf dem Weg ins Defizit"," ","246","Kranken- und Pflegeversicherung und Gesundheitssystem"
"SECHSTES KAPITEL Soziale Sicherung: Nur zaghafte Reformen","II. Soziale Pflegeversicherung: Auf dem Weg ins Defizit","Soziale Pflegeversicherung: Auf dem Weg ins Defizit","246","Kranken- und Pflegeversicherung und Gesundheitssystem"
"SECHSTES KAPITEL Soziale Sicherung: Nur zaghafte Reformen","III. Gesetzliche Rentenversicherung: Rentenpolitische Standfestigkeit erforderlich"," ","248","Rentensystem / Altersvorsorge"
"SECHSTES KAPITEL Soziale Sicherung: Nur zaghafte Reformen","III. Gesetzliche Rentenversicherung: Rentenpolitische Standfestigkeit erforderlich","Nullrunde bei den Renten","249","Rentensystem / Altersvorsorge"
"SECHSTES KAPITEL Soziale Sicherung: Nur zaghafte Reformen","III. Gesetzliche Rentenversicherung: Rentenpolitische Standfestigkeit erforderlich","Die Rente mit 67 und die Lage Älterer am Arbeitsmarkt","250","Rentensystem / Altersvorsorge"
"SECHSTES KAPITEL Soziale Sicherung: Nur zaghafte Reformen","IV. Arbeitslosenversicherung: Mit Finanzierungsdefizit"," ","253","Arbeitslosenversicherung"
"SECHSTES KAPITEL Soziale Sicherung: Nur zaghafte Reformen","IV. Arbeitslosenversicherung: Mit Finanzierungsdefizit","Arbeitslosenversicherung: Mit Finanzierungsdefizit","253","Arbeitslosenversicherung"
"SIEBETES KAPITEL Arbeitsmarkt: Nach erfolgreichem Krisenmanagement vor institutionellen Veränderungen"," "," ","257","Arbeitsmarktpolitik"
"SIEBETES KAPITEL Arbeitsmarkt: Nach erfolgreichem Krisenmanagement vor institutionellen Veränderungen","I. Trotz Krise überraschend positive Entwicklung auf dem Arbeitsmarkt"," ","259","Arbeitsmarktpolitik"
"SIEBETES KAPITEL Arbeitsmarkt: Nach erfolgreichem Krisenmanagement vor institutionellen Veränderungen","I. Trotz Krise überraschend positive Entwicklung auf dem Arbeitsmarkt","Arbeitsmarkt über die Krise hinweg robust","260","Arbeitsmarktpolitik"
"SIEBETES KAPITEL Arbeitsmarkt: Nach erfolgreichem Krisenmanagement vor institutionellen Veränderungen","I. Trotz Krise überraschend positive Entwicklung auf dem Arbeitsmarkt","Unterschiedliche Entwicklung in den Wirtschaftsbereichen","262","Arbeitsmarktpolitik"
"SIEBETES KAPITEL Arbeitsmarkt: Nach erfolgreichem Krisenmanagement vor institutionellen Veränderungen","I. Trotz Krise überraschend positive Entwicklung auf dem Arbeitsmarkt","Rückgang bei atypischen Beschäftigungsverhältnissen","264","Arbeitsmarktpolitik"
"SIEBETES KAPITEL Arbeitsmarkt: Nach erfolgreichem Krisenmanagement vor institutionellen Veränderungen","I. Trotz Krise überraschend positive Entwicklung auf dem Arbeitsmarkt","Positive konjunkturelle Impulse beleben den Arbeitsmarkt im Jahr 2010","266","Arbeitsmarktpolitik"
