```csv
"Überschrift Erste/Kapitelebene","Überschrift Zweite Ebene","Überschrift Dritte/Niedriger Ebene","Seitenzahl","Kategorie"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I.   Weltwirtschaftliches Umfeld","5. Europäische Union: Abrupte Abkühlung","65","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I.   Weltwirtschaftliches Umfeld","Euro-Raum: Konjunktur verliert an Schwung","65","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I.   Weltwirtschaftliches Umfeld","Geldpolitik zwischen Konjunktur- und Preisrisiken","69","Geld- und Währungspolitik"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I.   Weltwirtschaftliches Umfeld","Starke Auf- und Abwertung des Außenwerts des Euro im Zuge der Finanzkrise","70","Geld- und Währungspolitik"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I.   Weltwirtschaftliches Umfeld","Eintrübung der Konjunktur in den übrigen Staaten der Europäischen Union","71","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","I.   Weltwirtschaftliches Umfeld","Voraussichtliche Entwicklung im Jahr 2009","74","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II.   Die deutsche Volkswirtschaft im Abschwung"," ","75","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II.   Die deutsche Volkswirtschaft im Abschwung","1. Konjunktureller Abschwung nach imposantem Jahresbeginn 2008","76","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II.   Die deutsche Volkswirtschaft im Abschwung","Rückläufige Output-Lücke im Jahr 2008","80","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II.   Die deutsche Volkswirtschaft im Abschwung","Preisschub dämpft Konsum","80","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II.   Die deutsche Volkswirtschaft im Abschwung","Privater Konsum: Erhoffte Erholung blieb aus","84","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II.   Die deutsche Volkswirtschaft im Abschwung","Staatskonsum: Stabilisator in der Konjunkturabschwächung","91","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II.   Die deutsche Volkswirtschaft im Abschwung","Ausrüstungsinvestitionen: Der Aufschwung ist zu Ende","91","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II.   Die deutsche Volkswirtschaft im Abschwung","Verhaltene Entwicklung in der Bauwirtschaft","96","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II.   Die deutsche Volkswirtschaft im Abschwung","Außenwirtschaft: Nachlassende Impulse","97","Außenhandel"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II.   Die deutsche Volkswirtschaft im Abschwung","Entstehungsseite: Produktionsdynamik in der Industrie schwächt sich ab","100","Industriepolitik, Strukturpolitik"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II.   Die deutsche Volkswirtschaft im Abschwung","2. Die voraussichtliche Entwicklung im Jahr 2009: Deutschland in der Rezession","100","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II.   Die deutsche Volkswirtschaft im Abschwung","Risiken der Prognose","104","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II.   Die deutsche Volkswirtschaft im Abschwung","Die Entwicklung der Nachfragekomponenten im Einzelnen","105","Kurze Frist / Konjunkturanalyse"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II.   Die deutsche Volkswirtschaft im Abschwung","Arbeitsmarkt: Beschäftigungsabbau und Anstieg der Arbeitslosigkeit","109","Arbeitsmarktpolitik"
"ZWEITES KAPITEL Die wirtschaftliche Lage und Entwicklung in der Welt und in Deutschland","II.   Die deutsche Volkswirtschaft im Abschwung","Öffentliche Finanzen: Öffentliche Haushalte in turbulenten Zeiten","110","Öffentliche Finanzen"
"DRITTES KAPITEL Finanzsystem auf der Intensivstation"," "," ","117","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","I.       Die unerwartete Ausbreitung der Krise"," ","118","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","I.       Die unerwartete Ausbreitung der Krise","1. Zur Genesis der Krise","119","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","I.       Die unerwartete Ausbreitung der Krise","2. Die Fehleinschätzung der US- Behörden im Fall von Lehman Brothers","122","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","I.       Die unerwartete Ausbreitung der Krise","3. Der US-amerikanische Immobilienmarkt findet keinen Boden","124","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","I.       Die unerwartete Ausbreitung der Krise","4. Negative Selbstverstärkung durch „Deleveraging“","127","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","I.       Die unerwartete Ausbreitung der Krise","5. Zunehmendes Misstrauen verschlechtert Ertragslage","128","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","II.      Reaktion der Zentralbanken"," ","129","Geld- und Währungspolitik"
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","II.      Reaktion der Zentralbanken","1. Zentralbankpolitische Maßnahmen zur Bewältigung der Krise","131","Geld- und Währungspolitik"
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","II.      Reaktion der Zentralbanken","Federal Reserve","132","Geld- und Währungspolitik"
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","II.      Reaktion der Zentralbanken","Europäische Zentralbank","135","Geld- und Währungspolitik"
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","II.      Reaktion der Zentralbanken","2. Effektivität der ergriffenen Maßnahmen","140","Geld- und Währungspolitik"
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","II.      Reaktion der Zentralbanken","3. Grenzen des zentralbankpolitischen Krisenmanagements","142","Geld- und Währungspolitik"
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","III. Systemische Bankenkrisen: Ursachen und Lösungsansätze"," ","144","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","III. Systemische Bankenkrisen: Ursachen und Lösungsansätze","1. Liquiditäts- und Solvenzprobleme als Ursachen einer systemischen Krise","144","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","III. Systemische Bankenkrisen: Ursachen und Lösungsansätze","2. Elemente staatlicher Rettungsprogramme","146","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","III. Systemische Bankenkrisen: Ursachen und Lösungsansätze","Lockerung bilanzieller oder bankaufsichtsrechtlicher Vorgaben (Regulatory Forbearance)","147","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","III. Systemische Bankenkrisen: Ursachen und Lösungsansätze","Übertragung problembehafteter Aktiva auf einen zentralen Fonds (Asset Management Company)","148","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","III. Systemische Bankenkrisen: Ursachen und Lösungsansätze","Eigenkapitalzuführung durch den Staat","148","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","III. Systemische Bankenkrisen: Ursachen und Lösungsansätze","Triage durch eine zentrale Institution","149","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","III. Systemische Bankenkrisen: Ursachen und Lösungsansätze","3. Staatliche Rettungsprogramme in der aktuellen Finanzkrise","152","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","III. Systemische Bankenkrisen: Ursachen und Lösungsansätze","Die Abkehr von fallweisen Lösungen","152","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","III. Systemische Bankenkrisen: Ursachen und Lösungsansätze","Das deutsche Rettungspaket","156","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","III. Systemische Bankenkrisen: Ursachen und Lösungsansätze","Rekapitalisierung der Banken: Die Rolle des Staates","159","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","III. Systemische Bankenkrisen: Ursachen und Lösungsansätze","Selektive staatliche Garantien für Bankverbindlichkeiten","162","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","III. Systemische Bankenkrisen: Ursachen und Lösungsansätze","Der Ankauf risikobehafteter Wertpapiere durch den SoFFin","162","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","III. Systemische Bankenkrisen: Ursachen und Lösungsansätze","Eine vorläufige Bewertung","164","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","IV. Von der Krisenbewältigung zur Krisenprävention"," ","164","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","IV. Von der Krisenbewältigung zur Krisenprävention","1. Nicht nur der Markt, auch der Staat hat versagt","164","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","IV. Von der Krisenbewältigung zur Krisenprävention","2. Ansatzpunkte für eine stabilere globale Finanzmarktarchitektur","165","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","IV. Von der Krisenbewältigung zur Krisenprävention","Blinde Flecken bei der Aufsicht des Finanzsystems","167","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","IV. Von der Krisenbewältigung zur Krisenprävention","Zu geringe Risikopuffer und zunehmende Prozyklizität","168","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","IV. Von der Krisenbewältigung zur Krisenprävention","Ansätze für eine Reform der internationalen Finanzarchitektur","171","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","IV. Von der Krisenbewältigung zur Krisenprävention","3. Institutionelle Reformen: Stärkung der internationalen Aufsicht","172","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","IV. Von der Krisenbewältigung zur Krisenprävention","Lösungsansätze auf der globalen Ebene","173","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","IV. Von der Krisenbewältigung zur Krisenprävention","Mögliche Funktionsbereiche einer internationalen Aufsicht","173","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","IV. Von der Krisenbewältigung zur Krisenprävention","Institutionelle Struktur","176","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","IV. Von der Krisenbewältigung zur Krisenprävention","Lösungsansätze auf der europäischen Ebene","177","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","IV. Von der Krisenbewältigung zur Krisenprävention","4. Inhaltliche Reformen: Verringerung der Prozyklizität des Finanzsystems","179","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","IV. Von der Krisenbewältigung zur Krisenprävention","Eigenkapitalregulierung","179","Finanzmärkte und Finanzstabilität "
"DRITTES KAPITEL Finanzsystem auf der Intensivstation","IV. Von der Krisenbewältigung zur Krisenprävention","Geringere Prozyklizität durch eine am Vorsichtsprinzip orientierte Bilanzierung","183","Finanzmärkte und Finanzstabilität "
"VIERTES KAPITEL Finanzpolitik: Handlungsbedarf in der kurzen und langen Frist"," "," ","193","NA"
"VIERTES KAPITEL Finanzpolitik: Handlungsbedarf in der kurzen und langen Frist","I.       Öffentliche Haushalte: Finanzpolitik in unsicheren Zeiten"," ","194","Öffentliche Finanzen"
"VIERTES KAPITEL Finanzpolitik: Handlungsbedarf in der kurzen und langen Frist","I.       Öffentliche Haushalte: Finanzpolitik in unsicheren Zeiten","1. Nahezu ausgeglichene öffentliche Haushalte trotz konjunktureller Abschwächung","194","Öffentliche Finanzen"
"VIERTES KAPITEL Finanzpolitik: Handlungsbedarf in der kurzen und langen Frist","I.       Öffentliche Haushalte: Finanzpolitik in unsicheren Zeiten","Entwicklung der staatlichen Ausgaben","195","Öffentliche Finanzen"
"VIERTES KAPITEL Finanzpolitik: Handlungsbedarf in der kurzen und langen Frist","I.       Öffentliche Haushalte: Finanzpolitik in unsicheren Zeiten","Entwicklung der staatlichen Einnahmen","197","Öffentliche Finanzen"
"VIERTES KAPITEL Finanzpolitik: Handlungsbedarf in der kurzen und langen Frist","I.       Öffentliche Haushalte: Finanzpolitik in unsicheren Zeiten","Kassenmäßiges Steueraufkommen","198","Steuerpolitik"
"VIERTES KAPITEL Finanzpolitik: Handlungsbedarf in der kurzen und langen Frist","I.       Öffentliche Haushalte: Finanzpolitik in unsicheren Zeiten","Zur steuerlichen Behandlung von Fahrten zwischen Wohnung und Arbeitsstätte","202","Steuerpolitik"
"VIERTES KAPITEL Finanzpolitik: Handlungsbedarf in der kurzen und langen Frist","I.       Öffentliche Haushalte: Finanzpolitik in unsicheren Zeiten","2. Haushalte der Gebietskörperschaften und der Sozialversicherung: Defizite nur beim Bund","204","Öffentliche Finanzen"
"VIERTES KAPITEL Finanzpolitik: Handlungsbedarf in der kurzen und langen Frist","I.       Öffentliche Haushalte: Finanzpolitik in unsicheren Zeiten","Einnahmen und Ausgaben des Bundes","204","Öffentliche Finanzen"
"VIERTES KAPITEL Finanzpolitik: Handlungsbedarf in der kurzen und langen Frist","I.       Öffentliche Haushalte: Finanzpolitik in unsicheren Zeiten","Einnahmen und Ausgaben der Länder, Gemeinden und Sozialversicherung","205","Öffentliche Finanzen"
"VIERTES KAPITEL Finanzpolitik: Handlungsbedarf in der kurzen und langen Frist","I.       Öffentliche Haushalte: Finanzpolitik in unsicheren Zeiten","3. Finanzpolitik im Zeichen drohender Haushaltsrisiken","207","Öffentliche Finanzen"
"VIERTES KAPITEL Finanzpolitik: Handlungsbedarf in der kurzen und langen Frist","I.       Öffentliche Haushalte: Finanzpolitik in unsicheren Zeiten","4. Föderalismuskommission II: Trübe Aussichten trotz überzeugender Konzepte","211","Föderales System"
"VIERTES KAPITEL Finanzpolitik: Handlungsbedarf in der kurzen und langen Frist","II.      Reform der Erbschaftsteuer: Bedienung von Partikularinteressen"," ","215","Steuerpolitik"
"VIERTES KAPITEL Finanzpolitik: Handlungsbedarf in der kurzen und langen Frist","II.      Reform der Erbschaftsteuer: Bedienung von Partikularinteressen","1. Eine kurze Chronologie der Reformpläne","215","Steuerpolitik"
"VIERTES KAPITEL Finanzpolitik: Handlungsbedarf in der kurzen und langen Frist","II.      Reform der Erbschaftsteuer: Bedienung von Partikularinteressen","2. Erbschaftsteuerreform und Verschonungsabschläge: Rechtfertigungen, Missverständnisse, Fakten","219","Steuerpolitik"
"VIERTES KAPITEL Finanzpolitik: Handlungsbedarf in der kurzen und langen Frist","II.      Reform der Erbschaftsteuer: Bedienung von Partikularinteressen","3. Pro und Contra Erbschaftsbesteuerung","223","Steuerpolitik"
"VIERTES KAPITEL Finanzpolitik: Handlungsbedarf in der kurzen und langen Frist","II.      Reform der Erbschaftsteuer: Bedienung von Partikularinteressen","4. Fazit","227","Steuerpolitik"
"VIERTES KAPITEL Finanzpolitik: Handlungsbedarf in der kurzen und langen Frist","III. Abgeltungsteuer: Nach der Reform ist vor der Reform"," ","228","Steuerpolitik"
"VIERTES KAPITEL Finanzpolitik: Handlungsbedarf in der kurzen und langen Frist","III. Abgeltungsteuer: Nach der Reform ist vor der Reform","1. Abgeltungsteuer, Unternehmensbesteuerung und Steuervereinfachung","228","Steuerpolitik"
"VIERTES KAPITEL Finanzpolitik: Handlungsbedarf in der kurzen und langen Frist","III. Abgeltungsteuer: Nach der Reform ist vor der Reform","2. Günstigerprüfung: Unsystematische Grenzbelastungen und ungünstige Ergebnisse","231","Steuerpolitik"
"VIERTES KAPITEL Finanzpolitik: Handlungsbedarf in der kurzen und langen Frist","III. Abgeltungsteuer: Nach der Reform ist vor der Reform","3. Vermeidung der Abgeltungsteuer durch Teileinkünftebesteuerung","234","Steuerpolitik"
"VIERTES KAPITEL Finanzpolitik: Handlungsbedarf in der kurzen und langen Frist","III. Abgeltungsteuer: Nach der Reform ist vor der Reform","4. Fazit","236","Steuerpolitik"
"VIERTES KAPITEL Finanzpolitik: Handlungsbedarf in der kurzen und langen Frist","IV. Haushaltskonsolidierung, Steuersenkungen, Konjunkturprogramme: Was tun?"," ","237","NA"
"VIERTES KAPITEL Finanzpolitik: Handlungsbedarf in der kurzen und langen Frist","IV. Haushaltskonsolidierung, Steuersenkungen, Konjunkturprogramme: Was tun?","1. Finanzpolitik in längerfristiger Perspektive","238","Öffentliche Finanzen"
"VIERTES KAPITEL Finanzpolitik: Handlungsbedarf in der kurzen und langen Frist","IV. Haushaltskonsolidierung, Steuersenkungen, Konjunkturprogramme: Was tun?","Was wird aus der Haushaltskonsolidierung?","238","Öffentliche Finanzen"
"VIERTES KAPITEL Finanzpolitik: Handlungsbedarf in der kurzen und langen Frist","IV. Haushaltskonsolidierung, Steuersenkungen, Konjunkturprogramme: Was tun?","Sollten die gesamtwirtschaftliche Steuerquote und Abgabenquote reduziert werden?","240","Steuerpolitik"
"VIERTES KAPITEL Finanzpolitik: Handlungsbedarf in der kurzen und langen Frist","IV. Haushaltskonsolidierung, Steuersenkungen, Konjunkturprogramme: Was tun?","2. Finanzpolitik in der kurzen Frist","243","Kurze Frist / Konjunkturanalyse"
"VIERTES KAPITEL Finanzpolitik: Handlungsbedarf in der kurzen und langen Frist","IV. Haushaltskonsolidierung, Steuersenkungen, Konjunkturprogramme: Was tun?","Vorteile einer Glättung von konjunkturellen Schwankungen","243","Kurze Frist / Konjunkturanalyse"
"VIERTES KAPITEL Finanzpolitik: Handlungsbedarf in der kurzen und langen Frist","IV. Haushaltskonsolidierung, Steuersenkungen, Konjunkturprogramme: Was tun?","Zur Wirksamkeit antizyklischer finanzpolitischer Maßnahmen","245","Kurze Frist / Konjunkturanalyse"
"VIERTES KAPITEL Finanzpolitik: Handlungsbedarf in der kurzen und langen Frist","IV. Haushaltskonsolidierung, Steuersenkungen, Konjunkturprogramme: Was tun?","Automatische Stabilisatoren","245","Kurze Frist / Konjunkturanalyse"
"VIERTES KAPITEL Finanzpolitik: Handlungsbedarf in der kurzen und langen Frist","IV. Haushaltskonsolidierung, Steuersenkungen, Konjunkturprogramme: Was tun?","Diskretionäre antizyklische Finanzpolitik","247","Kurze Frist / Konjunkturanalyse"
