```csv
"Überschrift Erste/Kapitelebene","Überschrift Zweite Ebene","Überschrift Dritte/Niedriger Ebene","Seitenzahl","Kategorie Primär","Kategorie Region"
"DRITTES KAPITEL Globale Ungleichgewichte: Abbau zeichnet sich ab","III.     Die Ursachen der globalen Leistungsbilanzungleichgewichte","Der Zusammenhang zwischen Ölpreisen und Leistungsbilanzen","137","Kurze Frist / Konjunkturanalyse","Deutschland"
"DRITTES KAPITEL Globale Ungleichgewichte: Abbau zeichnet sich ab","III.     Die Ursachen der globalen Leistungsbilanzungleichgewichte","Recycling der Öleinnahmen","139","NA","Deutschland"
"DRITTES KAPITEL Globale Ungleichgewichte: Abbau zeichnet sich ab","III.     Die Ursachen der globalen Leistungsbilanzungleichgewichte","Realwirtschaftliches Recycling","139","NA","Deutschland"
"DRITTES KAPITEL Globale Ungleichgewichte: Abbau zeichnet sich ab","III.     Die Ursachen der globalen Leistungsbilanzungleichgewichte","Finanzwirtschaftliches Recycling","143","Finanzmärkte und Finanzstabilität ","Deutschland"
"DRITTES KAPITEL Globale Ungleichgewichte: Abbau zeichnet sich ab","IV.      Anpassungsprozesse und ihre Risiken"," ","145","NA","Deutschland"
"DRITTES KAPITEL Globale Ungleichgewichte: Abbau zeichnet sich ab","IV.      Anpassungsprozesse und ihre Risiken","1. Die Grenzen der Verschuldung in den Vereinigten Staaten","145","Öffentliche Finanzen","Nordamerika"
"DRITTES KAPITEL Globale Ungleichgewichte: Abbau zeichnet sich ab","IV.      Anpassungsprozesse und ihre Risiken","Wie tragfähig ist die Verschuldungssituation der US-amerikanischen\nVolkswirtschaft?","146","Öffentliche Finanzen","Nordamerika"
"DRITTES KAPITEL Globale Ungleichgewichte: Abbau zeichnet sich ab","IV.      Anpassungsprozesse und ihre Risiken","Ist die Nettoauslandsposition der Vereinigten Staaten ein Problem?","146","Außenhandel","Nordamerika"
"DRITTES KAPITEL Globale Ungleichgewichte: Abbau zeichnet sich ab","IV.      Anpassungsprozesse und ihre Risiken","Ist das Leistungsbilanzdefizit auf Dauer durchzuhalten?","149","Außenhandel","Nordamerika"
"DRITTES KAPITEL Globale Ungleichgewichte: Abbau zeichnet sich ab","IV.      Anpassungsprozesse und ihre Risiken","Verschuldung der privaten Haushalte stößt an Grenzen","150","NA","Nordamerika"
"DRITTES KAPITEL Globale Ungleichgewichte: Abbau zeichnet sich ab","IV.      Anpassungsprozesse und ihre Risiken","2. Wie groß ist die Bereitschaft der asiatischen Staaten, den US-Dollar\nabwerten zu lassen?","154","Geld- und Währungspolitik","Asien,Australien"
"DRITTES KAPITEL Globale Ungleichgewichte: Abbau zeichnet sich ab","V.       Implikationen für Deutschland"," ","156","NA","Deutschland"
"DRITTES KAPITEL Globale Ungleichgewichte: Abbau zeichnet sich ab","V.       Implikationen für Deutschland","Begrenzte Risiken bei den Basisszenarien","157","Kurze Frist / Konjunkturanalyse","Deutschland"
"DRITTES KAPITEL Globale Ungleichgewichte: Abbau zeichnet sich ab","V.       Implikationen für Deutschland","Risikoszenario: starke Abwertung des US-Dollar","158","Geld- und Währungspolitik","Deutschland"
"DRITTES KAPITEL Globale Ungleichgewichte: Abbau zeichnet sich ab","V.       Implikationen für Deutschland","Wie soll die Wirtschaftspolitik reagieren?","159","Wirtschaftspolitik","Deutschland"
"VIERTES KAPITEL Geldpolitik: Kurs halten"," "," ","164","NA","Deutschland"
"VIERTES KAPITEL Geldpolitik: Kurs halten","I.       Geldpolitische Rahmenbedingungen: Europäische Zentralbank schwenkt auf\nneutralen Kurs ein"," ","166","Geld- und Währungspolitik","Europa"
"VIERTES KAPITEL Geldpolitik: Kurs halten","I.       Geldpolitische Rahmenbedingungen: Europäische Zentralbank schwenkt auf\nneutralen Kurs ein","1. Ölpreisbedingter Preisanstieg − gedämpft durch Euro-Aufwertung","167","Geld- und Währungspolitik","Europa"
"VIERTES KAPITEL Geldpolitik: Kurs halten","I.       Geldpolitische Rahmenbedingungen: Europäische Zentralbank schwenkt auf\nneutralen Kurs ein","2. Hohes M3-Wachstum und leicht gestiegene Inflationserwartungen","172","Geld- und Währungspolitik","Europa"
"VIERTES KAPITEL Geldpolitik: Kurs halten","I.       Geldpolitische Rahmenbedingungen: Europäische Zentralbank schwenkt auf\nneutralen Kurs ein","3. Expansive Wirkung der Geldpolitik lässt nach","174","Geld- und Währungspolitik","Europa"
"VIERTES KAPITEL Geldpolitik: Kurs halten","I.       Geldpolitische Rahmenbedingungen: Europäische Zentralbank schwenkt auf\nneutralen Kurs ein","4. Finanzmärkte: Im Zeichen der Zinswende","181","Finanzmärkte und Finanzstabilität ","Deutschland"
"VIERTES KAPITEL Geldpolitik: Kurs halten","I.       Geldpolitische Rahmenbedingungen: Europäische Zentralbank schwenkt auf\nneutralen Kurs ein","Deutliche Verbesserung der Ertragslage der deutschen Banken","183","Finanzmärkte und Finanzstabilität ","Deutschland"
"VIERTES KAPITEL Geldpolitik: Kurs halten","II.      Die geldpolitische Strategie der Europäischen Zentralbank: Besteht Revisions-\nbedarf?"," ","185","Geld- und Währungspolitik","Europa"
"VIERTES KAPITEL Geldpolitik: Kurs halten","II.      Die geldpolitische Strategie der Europäischen Zentralbank: Besteht Revisions-\nbedarf?","1. Geldpolitische Strategie und Transparenz","187","Geld- und Währungspolitik","Europa"
"VIERTES KAPITEL Geldpolitik: Kurs halten","II.      Die geldpolitische Strategie der Europäischen Zentralbank: Besteht Revisions-\nbedarf?","2. Merkmale der Strategie des Inflation Targeting und der Zwei-Säulen-\nStrategie der Europäischen Zentralbank","189","Geld- und Währungspolitik","Europa"
"VIERTES KAPITEL Geldpolitik: Kurs halten","II.      Die geldpolitische Strategie der Europäischen Zentralbank: Besteht Revisions-\nbedarf?","3. Sollte die Europäische Zentralbank zum Inflation Targeting übergehen?","191","Geld- und Währungspolitik","Europa"
"VIERTES KAPITEL Geldpolitik: Kurs halten","II.      Die geldpolitische Strategie der Europäischen Zentralbank: Besteht Revisions-\nbedarf?","Sollte die Europäische Zentralbank ihre Kommunikation stärker auf In-\nflationsprognosen ausrichten?","192","Geld- und Währungspolitik","Europa"
"VIERTES KAPITEL Geldpolitik: Kurs halten","II.      Die geldpolitische Strategie der Europäischen Zentralbank: Besteht Revisions-\nbedarf?","Sollte die Europäische Zentralbank die monetäre Analyse beibehalten?","194","Geld- und Währungspolitik","Europa"
"VIERTES KAPITEL Geldpolitik: Kurs halten","II.      Die geldpolitische Strategie der Europäischen Zentralbank: Besteht Revisions-\nbedarf?","4. Neujustierung statt Strategiewechsel","196","Geld- und Währungspolitik","Europa"
"VIERTES KAPITEL Geldpolitik: Kurs halten","II.      Die geldpolitische Strategie der Europäischen Zentralbank: Besteht Revisions-\nbedarf?","5. Fazit","198","Geld- und Währungspolitik","Europa"
"VIERTES KAPITEL Geldpolitik: Kurs halten","II.      Die geldpolitische Strategie der Europäischen Zentralbank: Besteht Revisions-\nbedarf?","Exkurs: Zur Gefahr von Immobilienpreisblasen","199","Finanzmärkte und Finanzstabilität ","Europa"
"VIERTES KAPITEL Geldpolitik: Kurs halten","II.      Die geldpolitische Strategie der Europäischen Zentralbank: Besteht Revisions-\nbedarf?","Aktuelle Entwicklungen auf dem europäischen Immobilienmarkt","200","Finanzmärkte und Finanzstabilität ","Europa"
"VIERTES KAPITEL Geldpolitik: Kurs halten","II.      Die geldpolitische Strategie der Europäischen Zentralbank: Besteht Revisions-\nbedarf?","Preisblase am europäischen Immobilienmarkt?","204","Finanzmärkte und Finanzstabilität ","Europa"
"VIERTES KAPITEL Geldpolitik: Kurs halten","II.      Die geldpolitische Strategie der Europäischen Zentralbank: Besteht Revisions-\nbedarf?","Makroökonomische Folgen des Platzens von Vermögenspreisblasen","205","Finanzmärkte und Finanzstabilität ","Deutschland"
"VIERTES KAPITEL Geldpolitik: Kurs halten","II.      Die geldpolitische Strategie der Europäischen Zentralbank: Besteht Revisions-\nbedarf?","Immobilienpreisblasen - eine Herausforderung für die Geldpolitik","206","Finanzmärkte und Finanzstabilität ","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten"," "," ","210","NA","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","I.       Gesetzliche Krankenversicherung: Unzulängliche Vorhaben"," ","213","Kranken- und Pflegeversicherung und Gesundheitssystem","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","I.       Gesetzliche Krankenversicherung: Unzulängliche Vorhaben","1. Die finanzielle Lage der Gesetzlichen Krankenversicherung:\nNoch mit Überschuss","213","Kranken- und Pflegeversicherung und Gesundheitssystem","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","I.       Gesetzliche Krankenversicherung: Unzulängliche Vorhaben","2. Gesundheitsreform 2006: Ein misslungener Kompromiss","216","Kranken- und Pflegeversicherung und Gesundheitssystem","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","I.       Gesetzliche Krankenversicherung: Unzulängliche Vorhaben","Der Gesundheitsfonds: eine Missgeburt","217","Kranken- und Pflegeversicherung und Gesundheitssystem","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","I.       Gesetzliche Krankenversicherung: Unzulängliche Vorhaben","Ausgestaltung des Gesundheitsfonds","217","Kranken- und Pflegeversicherung und Gesundheitssystem","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","I.       Gesetzliche Krankenversicherung: Unzulängliche Vorhaben","Wettbewerbsschädliche Wirkung des Gesundheitsfonds","219","Kranken- und Pflegeversicherung und Gesundheitssystem","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","I.       Gesetzliche Krankenversicherung: Unzulängliche Vorhaben","Beseitigung der Konstruktionsmängel des Gesundheitsfonds","223","Kranken- und Pflegeversicherung und Gesundheitssystem","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","I.       Gesetzliche Krankenversicherung: Unzulängliche Vorhaben","Bürgerpauschale als überzeugende Fortentwicklung des Gesundheits-\nfonds","226","Kranken- und Pflegeversicherung und Gesundheitssystem","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","I.       Gesetzliche Krankenversicherung: Unzulängliche Vorhaben","Ergänzende Steuerfinanzierung im Rahmen der Gesundheitsreform 2006","228","Steuerpolitik","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","I.       Gesetzliche Krankenversicherung: Unzulängliche Vorhaben","Beitragssatzerhöhungen","230","Kranken- und Pflegeversicherung und Gesundheitssystem","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","I.       Gesetzliche Krankenversicherung: Unzulängliche Vorhaben","Reform des Risikostrukturausgleichs","230","Kranken- und Pflegeversicherung und Gesundheitssystem","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","I.       Gesetzliche Krankenversicherung: Unzulängliche Vorhaben","Konvergenzklausel","230","Kranken- und Pflegeversicherung und Gesundheitssystem","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","I.       Gesetzliche Krankenversicherung: Unzulängliche Vorhaben","Reform des Honorierungssystems für niedergelassene Ärzte","231","Kranken- und Pflegeversicherung und Gesundheitssystem","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","I.       Gesetzliche Krankenversicherung: Unzulängliche Vorhaben","Maßnahmen im Arzneimittelbereich","232","Kranken- und Pflegeversicherung und Gesundheitssystem","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","I.       Gesetzliche Krankenversicherung: Unzulängliche Vorhaben","Reformen der Organisationsstrukturen","233","Kranken- und Pflegeversicherung und Gesundheitssystem","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","I.       Gesetzliche Krankenversicherung: Unzulängliche Vorhaben","Sonstige Maßnahmen im Bereich der Gesetzlichen Kranken-\nversicherung","233","Kranken- und Pflegeversicherung und Gesundheitssystem","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","I.       Gesetzliche Krankenversicherung: Unzulängliche Vorhaben","Maßnahmen im Bereich der Privaten Krankenversicherung","234","Kranken- und Pflegeversicherung und Gesundheitssystem","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","I.       Gesetzliche Krankenversicherung: Unzulängliche Vorhaben","Fazit","236","Kranken- und Pflegeversicherung und Gesundheitssystem","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","II.      Gesetzliche Rentenversicherung: Reformerfordernisse weitgehend erfüllt"," ","236","Rentensystem / Altersvorsorge","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","II.      Gesetzliche Rentenversicherung: Reformerfordernisse weitgehend erfüllt","1. Die finanzielle Lage der Gesetzlichen Rentenversicherung: Vorübergehende\nEntlastung durch Sondereffekt","237","Rentensystem / Altersvorsorge","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","II.      Gesetzliche Rentenversicherung: Reformerfordernisse weitgehend erfüllt","Einnahmen: Sondereffekt durch Vorziehen des Zahlungstermins","237","Rentensystem / Altersvorsorge","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","II.      Gesetzliche Rentenversicherung: Reformerfordernisse weitgehend erfüllt","Ausgaben: Nullrunden und Mehrausgaben durch Schutzklausel","238","Rentensystem / Altersvorsorge","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","II.      Gesetzliche Rentenversicherung: Reformerfordernisse weitgehend erfüllt","2. Anhebung des gesetzlichen Renteneintrittsalters auf 67 Jahre","241","Rentensystem / Altersvorsorge","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","II.      Gesetzliche Rentenversicherung: Reformerfordernisse weitgehend erfüllt","3. Notwendige Nachjustierung: Beitragspflichtige Einkommen als relevante\nGröße in der Rentenanpassungsformel","253","Rentensystem / Altersvorsorge","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","II.      Gesetzliche Rentenversicherung: Reformerfordernisse weitgehend erfüllt","4. Reform der Hinterbliebenenversorgung","254","Rentensystem / Altersvorsorge","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","II.      Gesetzliche Rentenversicherung: Reformerfordernisse weitgehend erfüllt","Derzeitige Regelungen im Bereich der Hinterbliebenenversorgung","255","Rentensystem / Altersvorsorge","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","II.      Gesetzliche Rentenversicherung: Reformerfordernisse weitgehend erfüllt","Hinterbliebenenrente als Fürsorgeleistung","258","Rentensystem / Altersvorsorge","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","II.      Gesetzliche Rentenversicherung: Reformerfordernisse weitgehend erfüllt","Hinterbliebenenrente als Versicherungsleistung","258","Rentensystem / Altersvorsorge","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","II.      Gesetzliche Rentenversicherung: Reformerfordernisse weitgehend erfüllt","Rentensplitting","258","Rentensystem / Altersvorsorge","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","II.      Gesetzliche Rentenversicherung: Reformerfordernisse weitgehend erfüllt","Evolution des derzeitigen Systems","260","Rentensystem / Altersvorsorge","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","II.      Gesetzliche Rentenversicherung: Reformerfordernisse weitgehend erfüllt","5. Fortentwicklung der Gesetzlichen Rentenversicherung zu einer\nErwerbstätigenversicherung?","260","Rentensystem / Altersvorsorge","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","II.      Gesetzliche Rentenversicherung: Reformerfordernisse weitgehend erfüllt","Versichertenkreis der Gesetzlichen Rentenversicherung","261","Rentensystem / Altersvorsorge","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","II.      Gesetzliche Rentenversicherung: Reformerfordernisse weitgehend erfüllt","Wandel in der Erwerbstätigenstruktur und Auswirkungen auf die\nFinanzen der Rentenversicherung","262","Rentensystem / Altersvorsorge","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","II.      Gesetzliche Rentenversicherung: Reformerfordernisse weitgehend erfüllt","Finanzielle Konsequenzen einer Ausweitung des Versicherten-\nkreises","262","Rentensystem / Altersvorsorge","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","II.      Gesetzliche Rentenversicherung: Reformerfordernisse weitgehend erfüllt","Gründe für die Einführung einer Versicherungspflicht und die Aus-\nweitung des Versichertenkreises","263","Rentensystem / Altersvorsorge","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","II.      Gesetzliche Rentenversicherung: Reformerfordernisse weitgehend erfüllt","Versicherungspflicht oder Einbeziehung in die Gesetzliche Renten-\nversicherung?","268","Rentensystem / Altersvorsorge","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","III.     Soziale Pflegeversicherung: Warten auf die Reform"," ","275","Kranken- und Pflegeversicherung und Gesundheitssystem","Deutschland"
"FÜNFTES KAPITEL Soziale Sicherung: Licht und Schatten","IV.      Arbeitslosenversicherung: Erfreuliche Überschüsse"," ","275","Arbeitslosenversicherung","Deutschland"
